faculty_id,dept_id,percent_time,date_of_appointment
123152,CHE,36,2024-07-15
123152,BIO,64,2024-07-15
123174,COM,100,2015-11-10
123194,PHI,68,2024-01-04
123194,ENG,32,2024-01-04
123207,ENG,100,2009-11-27
123222,PHY,100,1996-02-15
123223,BIO,100,2011-03-19
123235,PHY,63,2023-03-16
123235,COM,37,2023-03-16
123238,ENG,34,2025-07-23
123238,PHI,66,2025-07-23
123240,PHY,74,2023-01-26
123240,COM,26,2023-01-26
123260,ENGL,24,2011-08-31
123260,ENG,76,2011-08-31
123306,PHI,100,2010-11-27
123337,CHE,100,2017-08-21
123340,ENG,68,1994-01-05
123340,PHI,32,1994-01-05
123346,PHI,100,2014-07-01
123360,BIO,100,2010-08-13
123362,BIO,100,2021-09-26
123363,ENG,100,2004-03-02
123366,HIS,100,2007-03-03
123369,PHI,56,1994-08-28
123369,ENG,44,1994-08-28
123370,ECO,100,2024-03-28
123471,CHE,80,2021-04-04
123471,BIO,20,2021-04-04
123488,ECO,100,2002-12-05
123502,ENGL,32,2022-12-06
123502,PHI,68,2022-12-06
123505,CHE,100,2024-11-02
123508,BIO,100,2003-06-23
123520,PHI,55,2017-12-15
123520,ENG,45,2017-12-15
123526,PHI,21,2022-08-06
123526,ENG,57,2022-08-06
123526,ENGL,22,2022-08-06
123533,PHI,100,2016-04-29
123541,CHE,44,2024-10-10
123541,BIO,56,2024-10-10
123550,PHY,46,2024-06-05
123550,COM,54,2024-06-05
123565,ENG,37,2013-08-30
123565,PHI,63,2013-08-30
123567,COM,100,1999-02-05
123570,ENG,100,2016-12-25
123583,PHI,63,2019-07-04
123583,ENG,37,2019-07-04
123588,ENG,31,2022-03-22
123588,PHI,69,2022-03-22
123613,BIO,72,2025-02-10
123613,CHE,28,2025-02-10
123643,COM,25,2022-02-12
123643,PHY,75,2022-02-12
123668,CHE,100,2021-10-14
123689,ECO,100,2010-10-14
123695,ECO,100,1993-03-17
123699,PHY,100,2024-08-23
123702,ENG,100,1998-08-27
123704,CHE,43,2019-09-15
123704,BIO,57,2019-09-15
123714,COM,21,2022-09-22
123714,PHY,79,2022-09-22
123731,CHE,100,2004-12-05
123734,ENG,100,2018-01-05
123751,PHI,26,2021-12-18
123751,ENG,74,2021-12-18
123789,ECO,100,2023-09-14
123814,ECO,100,2003-01-26
123853,ENG,23,2018-02-05
123853,PHI,77,2018-02-05
123895,ENG,100,1983-11-10
123909,BIO,100,2025-09-26
123941,ECO,100,2020-12-29
123958,PHY,64,2025-07-05
123958,COM,36,2025-07-05
123965,ECO,100,2021-08-28
123984,ENGL,51,2009-11-05
123984,ENG,49,2009-11-05
123994,PHI,78,2015-02-19
123994,ENGL,22,2015-02-19
124033,ENGL,100,2015-01-17
124049,PHI,100,2022-01-01
124054,ENG,23,2025-09-12
124054,ENGL,22,2025-09-12
124054,PHI,55,2025-09-12
124063,PHI,24,2018-08-27
124063,ENG,76,2018-08-27
124068,PHI,39,2023-05-14
124068,ENG,38,2023-05-14
124068,ENGL,23,2023-05-14
124071,COM,58,2007-10-12
124071,PHY,42,2007-10-12
124094,PHY,33,1993-02-13
124094,COM,67,1993-02-13
124099,COM,56,2009-03-20
124099,PHY,44,2009-03-20
124104,ENGL,79,2025-05-25
124104,ENG,21,2025-05-25
124118,PHY,39,2024-02-07
124118,COM,61,2024-02-07
124133,BIO,100,2025-09-27
124161,ECO,100,2010-09-18
124191,ENGL,53,2016-03-29
124191,PHI,47,2016-03-29
124199,ECO,100,1998-03-05
124205,PHY,27,1985-09-16
124205,COM,73,1985-09-16
124227,ENG,38,2017-02-21
124227,PHI,62,2017-02-21
124246,ENGL,21,1998-10-18
124246,PHI,79,1998-10-18
124251,CHE,52,2022-05-25
124251,BIO,48,2022-05-25
124297,CHE,43,2018-02-16
124297,BIO,57,2018-02-16
124315,COM,100,2025-08-16
124339,CHE,76,2000-07-17
124339,BIO,24,2000-07-17
124367,ECO,100,2022-09-22
124385,CHE,100,2019-03-04
124403,PHY,68,2005-09-05
124403,COM,32,2005-09-05
124404,ECO,100,2005-05-03
124418,ECO,100,2011-06-18
124419,PHI,100,2015-01-16
124426,ENGL,100,1999-05-16
124447,ENG,100,2003-09-16
124449,BIO,100,2021-06-14
124511,ENGL,56,2024-11-21
124511,ENG,24,2024-11-21
124511,PHI,20,2024-11-21
124532,ECO,100,2002-08-12
124540,PHY,100,2019-09-25
124544,ENG,100,2022-06-13
124581,COM,100,2023-07-07
124583,ENG,35,2019-06-01
124583,PHI,65,2019-06-01
124590,PHY,100,2022-11-02
124602,ECO,100,2004-12-15
124608,PHY,58,1992-07-04
124608,COM,42,1992-07-04
124621,ENG,100,2018-01-18
124649,PHI,40,2011-10-22
124649,ENG,60,2011-10-22
124699,ENGL,100,2020-01-07
124701,BIO,63,2022-02-02
124701,CHE,37,2022-02-02
124704,PHY,100,2015-04-11
124714,ECO,100,1999-08-31
124725,BIO,100,2019-08-06
124731,CHE,100,1995-08-11
124739,PHI,100,1994-02-06
124744,ENG,100,1982-06-21
124747,BIO,43,1994-12-01
124747,CHE,57,1994-12-01
124759,PHY,100,2018-08-05
124764,BIO,71,1993-05-20
124764,CHE,29,1993-05-20
124769,BIO,100,1987-08-15
124778,COM,25,2023-02-14
124778,PHY,75,2023-02-14
124804,PHI,31,1997-10-09
124804,ENG,69,1997-10-09
124805,ENGL,53,2007-12-31
124805,ENG,20,2007-12-31
124805,PHI,27,2007-12-31
124838,CHE,100,1997-02-12
124843,ENG,54,2025-09-15
124843,ENGL,46,2025-09-15
124891,ENG,100,2009-02-23
124920,ENGL,100,2011-07-23
124945,ENGL,38,2014-12-19
124945,ENG,62,2014-12-19
124953,ENG,100,2009-03-07
124969,CHE,39,2019-12-12
124969,BIO,61,2019-12-12
124983,PHY,100,2014-09-21
125001,PHI,100,2021-06-09
125003,PHY,77,2025-08-10
125003,COM,23,2025-08-10
125081,PHY,100,2000-03-17
125091,PHI,55,2024-08-30
125091,ENGL,45,2024-08-30
125121,PHY,43,1991-05-28
125121,COM,57,1991-05-28
125127,PHI,29,2025-08-28
125127,ENG,71,2025-08-28
125147,COM,100,1985-08-27
125228,ENG,40,2021-03-09
125228,ENGL,36,2021-03-09
125228,PHI,24,2021-03-09
125254,ENG,66,2014-06-10
125254,PHI,34,2014-06-10
